assets,AAPL,MSFT,GOOGL,AMZN,TSLA,JPM,BAC,V,PG,KO,WMT,PEP,CVX,XOM,SLB,BA,UPS,CAT,MMM,JNJ,PFE,MRNA,DIS,NFLX,T,NVDA,ORCL,INTC,LMT,GS,COST,BTC-USD,ETH-USD,LTC-USD,XRP-USD
AAPL,29.461942953550597,1.6339076616530293,0.04959207842089915,-0.5577922303299251,-0.042834266868959976,0.009893369881965666,-0.25844110048805646,1.0884127673471977,-0.14628559977538658,0.5069852367579242,0.4542978718522554,2.7522565254083067,-0.19610082742023693,0.28640925185396304,-1.1539393857189362,-0.02077893871490989,-0.9488857292693147,-0.251328365080409,2.174016755691424,-0.4028506295086422,0.015718580317433194,-0.7022803513446483,-0.18650341722231462,0.12877174433511768,0.14171300539472262,-0.18753797994913185,-0.9602758997784581,0.6803431097630775,0.910744947545798,1.0453439142567866,0.03188628711797302,0.004102274011117778,0.12236580107989248,-0.2623183409405297,-0.19908897990132834
MSFT,1.6339076616530293,2.008363260185741,0.03654813502450833,-0.8557691022377477,0.5807518199018505,-0.010440754261959288,0.10511627784569763,1.5983744839445886,0.16140337760004195,-0.08174056353954372,0.00027457104898786036,0.26626808896774146,-0.04248328799139727,-0.02052475179527787,0.907712235643887,-0.04308209847117611,3.4677203069713913,0.09820998287690678,0.009136381503306567,0.166468931756976,-0.27490910634521787,0.9798943357543731,1.2987160136332516,0.023340853162390846,1.4858458794752596,-0.04054123568321596,-0.515975202754561,0.24201564164079992,0.21243854131549317,-0.01576175254958082,-0.016455466737429956,0.012295433417201266,0.19516953299188,0.07296509546068033,0.09718936325470497
GOOGL,0.04959207842089915,0.036548135024508335,0.07179881043749786,-0.006784591056581996,0.08643246526069052,-0.002622420881269675,-0.00615184922451399,0.05630799801830772,-0.005489717455738907,0.002172442097312386,-0.022273120702249186,0.01571739090940729,-0.028396726912816365,0.019873059355796484,0.08192919137592869,-0.00983419949944385,-0.1384452736656834,0.02712921096257881,-0.00201788419845916,-0.052602189659309004,0.003857366207611866,0.08756882463658815,0.05150168574092302,1.4435978855430583e-05,-0.00426330044245226,-0.0008770597330911933,-0.01783811732459352,0.036972963488398174,-0.023494045162597843,-0.005513295846250586,0.0021038628032004967,-0.009462461368964314,0.003983807773357648,-0.005351677028267182,-0.008519906536004913
AMZN,-0.5577922303299251,-0.8557691022377477,-0.006784591056581996,1.2142781967032832,-0.14789721024191077,0.036751146388220156,-0.01944014513435279,-0.1817413956504442,-0.3086217227438778,-0.06760994980603144,0.06717026382414748,-0.23809158553739634,0.22407364027119922,-0.044700465108060645,-0.2549502974029693,-0.07914056911589419,0.20331292755256533,0.16705179276505291,-0.09302875978185761,-0.17223655056188367,-0.01256005216516142,-0.7629978570013847,0.3061702935313008,0.008332284925387365,0.12564520175449326,-0.0004391417431782927,-0.1379238142037477,0.05927525117825472,-0.36750928162488844,-0.0006780796436629678,-0.004495313924053086,-0.021638712448586155,0.09555225160645965,-0.030593098990169175,-0.022917334085203873
TSLA,-0.042834266868959976,0.5807518199018504,0.08643246526069052,-0.14789721024191077,9.754924302793599,0.3567450954628099,-0.21872307197596663,1.1130815017513283,-5.960998588639529,0.8830339726495663,-0.4121499963909381,0.23311007659140648,-0.3507395156041065,-0.08816800877771144,0.36292225080875296,0.3132564726685494,-25.904415993485205,-0.5481623731320848,0.1798166676329037,-0.999771848573396,0.010608598973811183,-0.06720066987592806,0.4616735255617282,0.5570302530580847,-3.598252719853,-0.005839163556419076,1.5425147076759664,-0.46314530804327786,-0.014041571229052684,0.06490648751726538,0.041422586219144006,8.076740312036064,0.3606414869386911,-0.29396104086805425,3.911783154188769
JPM,0.009893369881965666,-0.010440754261959288,-0.002622420881269675,0.036751146388220156,0.3567450954628099,0.436355154446957,-0.005923062145931641,0.10456256277747476,-0.06411426196930681,0.11033557906241007,0.0720891166453263,-0.08571134530663552,0.029381372985229488,0.02222608921153497,-0.16717622372516425,0.06891758558662962,-0.09626035059534219,0.011738459153776729,-0.004895501995233615,0.19951421383394422,-0.0020258468429457583,0.03833079914585377,0.035090170511182434,0.005317424793926115,0.07788822758274931,-0.0015604181562417128,0.2169011721676259,-0.05038478780140706,0.16728055173410836,-0.0020820569785874416,0.010121557556032878,0.031354437220271134,-0.025156307281610713,-0.002480060507915336,0.04416479915767953
BAC,-0.25844110048805646,0.10511627784569763,-0.006151849224513989,-0.019440145134352795,-0.21872307197596666,-0.00592306214593164,2.9262209537068564,0.4666820392076635,-0.27452951190812575,0.09744792828289783,-0.2983771925914327,0.07380988115423548,-0.2701220711522241,-0.08474528851686337,-0.2995681359812316,0.23230881404738846,2.5386030612608264,0.2910020029722568,-1.2840989617179235,-0.15039123238279567,-0.00016007708809819536,0.1049474790233029,0.2246314590795163,-0.013040357372503648,-0.8927271722827311,-0.014536521700018082,0.01637695498541367,-0.1438831534061912,0.06549423902452922,-0.05405144909565914,0.00015574713528986953,-0.08509874817101629,0.039729607911546394,-0.0038907714404248428,-0.09227438394939118
V,1.0884127673471975,1.5983744839445886,0.05630799801830772,-0.18174139565044417,1.1130815017513283,0.10456256277747476,0.4666820392076635,10.347167830705377,0.5431452538197088,-0.2575527766805768,-0.055598818600828506,-0.03588121547637216,-0.20033147302758597,0.3257780511534518,0.2142460747262013,0.39413513451227367,-2.0120393676564836,0.20495419409004514,0.06382091324742704,1.7119257489115023,-0.29323292315419514,0.6254530176694862,0.06417964607947368,-0.0016247704437329165,-0.16085590349759124,0.0011801012021387105,-0.0586458118469932,0.2532821603133304,0.2591476939551798,-0.025923560165485342,0.020900871075082646,-0.08223610548595761,-0.34621107692231656,0.27099411151395286,0.25493881945610974
PG,-0.14628559977538658,0.16140337760004195,-0.005489717455738907,-0.3086217227438777,-5.960998588639529,-0.06411426196930681,-0.27452951190812575,0.5431452538197088,6.441201989500141,0.042047117444723954,-0.205085606850043,0.07391185892416129,-0.3658211966416108,-0.1508062976175653,-11.345960181911678,-0.22647893382127418,3.695572024945737,-0.13786328860448294,0.14756720761536202,-1.017340419093511,0.03760317439942677,0.06523136327528718,-0.16360928918524975,0.015266498799283894,-0.3289130730704534,0.001047044474538827,-0.13242114461342408,-3.4952175743376865,0.6197049793778923,0.009739185346360117,0.01697983085605135,-0.10926175167261722,-0.11250551896121957,-0.20568471320492068,18.22880322187227
KO,0.5069852367579242,-0.0817405635395437,0.0021724420973123866,-0.06760994980603144,0.8830339726495662,0.11033557906241007,0.09744792828289783,-0.2575527766805768,0.04204711744472396,6.34924810189093,0.014461984549855016,0.019113312012786567,0.11758050536454293,0.01321471103868404,-6.236166245300445,-0.025914630609814727,-4.598256851153087,-4.675047021183355,-0.047133592552636085,0.4889042652819315,-0.006065085002498761,0.2439009894682605,0.13717181639685908,0.01549235932169751,0.13014155926514936,-0.018507671212551702,-0.14008162981918124,0.07779603914088286,-0.13136374851878652,-0.004955460963774396,0.00997834599396491,0.02855962933249173,-0.04506379257823617,0.12135379142742618,0.03644039089686343
